"id","title","description","availability","condition","price","link","image_link","brand","google_product_category","fb_product_category","quantity_to_sell_on_facebook","sale_price","sale_price_effective_date","item_group_id","gender","color","size","age_group","material","pattern","shipping","shipping_weight"
580847,(texto de teste) ACUCAR CRISTAL VIVACUCAR 5KG,ACUCAR CRISTAL VIVACUCAR 5KG,in_stock,new,8.98,https://lojaonlinedev.regexsolutions.com.br/p/d/378948/acucar-cristal-vivacucar-5kg/p,https://cdn.regexsolutions.com.br/dev/produtos/78e97ae2-9c26-4371-8189-4eac1c85c588/150/b48cf70e-4230-4dc2-a07b-3fc90d8b3bce.webp,brand,google_product_category,fb_product_category,"100",8.98,"2020-04-30T09:30-08:00/2025-05-30T23:59-08:00","888",gender,color,size,age_group,material,pattern,shipping,shipping_weight
177924,Vinho Chileno Tinto Meio Seco Reservado Carmenere - Concha Y Toro 750ml,Vinho Chileno Tinto Meio Seco Reservado Carmenere - Concha Y Toro 750ml,in_stock,new,31.98,https://lojaonlinedev.regexsolutions.com.br/p/d/339583/vinho-chileno-tinto-meio-seco-reservado-carmenere-concha-y-toro-750ml/p,https://cdn.regexsolutions.com.br/dev/produtos/78e97ae2-9c26-4371-8189-4eac1c85c588/150/4760bded-cbb3-4101-b7c0-a0f6e34b324f.webp,brand,google_product_category,fb_product_category,"100",31.98,"2020-04-30T09:30-08:00/2025-05-30T23:59-08:00","888",gender,color,size,age_group,material,pattern,shipping,shipping_weight
607117,Absorvente Always C abas Noite Tranquila Suave.... Lv 8 Pg 7,Absorvente Always C abas Noite Tranquila Suave.... Lv 8 Pg 7,in_stock,new,7.39,https://lojaonlinedev.regexsolutions.com.br/p/d/381553/absorvente-always-c-abas-noite-tranquila-suave-lv-8-pg-7/p,https://cdn.regexsolutions.com.br/production/produtos/base/150/5493c19f-54c0-4137-badd-8470e5fd4334.jpg,brand,google_product_category,fb_product_category,"100",7.39,"2020-04-30T09:30-08:00/2025-05-30T23:59-08:00","888",gender,color,size,age_group,material,pattern,shipping,shipping_weight
34180,Tempero Sazon Laranja Indicado P  Massas 60g,Tempero Sazon Laranja Indicado P  Massas 60g,in_stock,new,3.98,https://lojaonlinedev.regexsolutions.com.br/p/d/325523/tempero-sazon-laranja-indicado-p-massas-60g/p,https://cdn.regexsolutions.com.br/dev/produtos/78e97ae2-9c26-4371-8189-4eac1c85c588/150/49855f52-a5ec-4b85-aa5e-b3a5eca84741.jpg,brand,google_product_category,fb_product_category,"100",3.98,"2020-04-30T09:30-08:00/2025-05-30T23:59-08:00","888",gender,color,size,age_group,material,pattern,shipping,shipping_weight
420,ABOBORA HIBRIDA KG,ABOBORA HIBRIDA KG,in_stock,new,3.48,https://lojaonlinedev.regexsolutions.com.br/p/d/322240/abobora-hibrida-kg/p,https://cdn.regexsolutions.com.br/dev/produtos/flv/150/f3663188-ff20-4ee0-abe3-484925230ce6.jpg,brand,google_product_category,fb_product_category,"100",3.48,"2020-04-30T09:30-08:00/2025-05-30T23:59-08:00","888",gender,color,size,age_group,material,pattern,shipping,shipping_weight
204132,Paçoquita Em Rolha Tradicional Santa Helena 350g,Paçoquita Em Rolha Tradicional Santa Helena 350g,in_stock,new,18.98,https://lojaonlinedev.regexsolutions.com.br/p/d/342073/pacoquita-em-rolha-tradicional-santa-helena-350g/p,https://cdn.regexsolutions.com.br/production/produtos/base/150/8e8f85dc-9d96-4fca-be0e-05a643bf8452.jpg,brand,google_product_category,fb_product_category,"100",18.98,"2020-04-30T09:30-08:00/2025-05-30T23:59-08:00","888",gender,color,size,age_group,material,pattern,shipping,shipping_weight
4558,LARANJA BAHIA KG,LARANJA BAHIA KG,in_stock,new,2.98,https://lojaonlinedev.regexsolutions.com.br/p/d/322649/laranja-bahia-kg/p,https://cdn.regexsolutions.com.br/dev/produtos/78e97ae2-9c26-4371-8189-4eac1c85c588/150/7f6e9cf0-f609-45b4-af8d-b4b566e506a3.webp,brand,google_product_category,fb_product_category,"100",2.98,"2020-04-30T09:30-08:00/2025-05-30T23:59-08:00","888",gender,color,size,age_group,material,pattern,shipping,shipping_weight
44103,Uva Rosada Bandeja 500g,Uva Rosada Bandeja 500g,in_stock,new,3.98,https://lojaonlinedev.regexsolutions.com.br/p/d/326515/uva-rosada-bandeja-500g/p,https://cdn.regexsolutions.com.br/production/produtos/base/150/325a2738-55f2-4358-9a8e-00c783d2517b.jpg,brand,google_product_category,fb_product_category,"100",3.98,"2020-04-30T09:30-08:00/2025-05-30T23:59-08:00","888",gender,color,size,age_group,material,pattern,shipping,shipping_weight
223515,Paçoquita Diet Santa Helena 176g,Paçoquita Diet Santa Helena 176g,in_stock,new,11.90,https://lojaonlinedev.regexsolutions.com.br/p/d/343949/pacoquita-diet-santa-helena-176g/p,https://cdn.regexsolutions.com.br/production/produtos/base/150/3fb182e3-a9c2-42bb-ae6b-dd5c624a8808.jpg,brand,google_product_category,fb_product_category,"100",11.90,"2020-04-30T09:30-08:00/2025-05-30T23:59-08:00","888",gender,color,size,age_group,material,pattern,shipping,shipping_weight
356633,"Pacoquinha Mindy 1,1kg","Pacoquinha Mindy 1,1kg",in_stock,new,19.98,https://lojaonlinedev.regexsolutions.com.br/p/d/356906/pacoquinha-mindy-11kg/p,https://cdn.regexsolutions.com.br/production/produtos/base/150/d416eb87-5873-4cc4-80d1-4dd35193f940.jpg,brand,google_product_category,fb_product_category,"100",19.98,"2020-04-30T09:30-08:00/2025-05-30T23:59-08:00","888",gender,color,size,age_group,material,pattern,shipping,shipping_weight
